countryId,div1Idd,selbyNumber,latitudeDD,longitudeDD
Ecuador,Napo,101243,-0.934602,-77.825581
Ecuador,Napo,101306,-0.934602,-77.825581
Ecuador,Napo,101255,-0.934602,-77.825581
Ecuador,Napo,101307,-0.934602,-77.825581
Ecuador,Napo,101232,-0.934602,-77.825581
Ecuador,Napo,101247,-0.934602,-77.825581
Ecuador,Napo,101239,-0.934602,-77.825581
Ecuador,Bolívar,101438,-1.79463,-79.06356
Ecuador,Bolívar,101973,-1.666201,-79.079439
Ecuador,Bolívar,101387,-1.752047,-79.148366
Ecuador,Bolívar,101385,-1.428467,-79.033361
Ecuador,Bolívar,101386,-1.428467,-79.033361
Ecuador,Azuay,101576,-2.383333,-79.166667
Ecuador,Esmeraldas,101970,1.23753,-78.774628
Ecuador,Esmeraldas,101960,1.23753,-78.774628
Ecuador,Esmeraldas,101974,1.23753,-78.774628
Ecuador,Zamora-Chinchipe,101082,-3.992565,-79.058039
Ecuador,Zamora-Chinchipe,101083,-3.992565,-79.058039
Ecuador,Loja,101072,-3.992565,-79.058039
Ecuador,Pastaza,101180,-1.930493,-77.724595
Ecuador,Pastaza,101196,-1.938357,-77.668721
Ecuador,Pastaza,101202,-1.938357,-77.668721
Ecuador,Morona-Santiago,101298,-2.100097,-78.42171
Ecuador,Morona-Santiago,101283,-2.100097,-78.42171
Ecuador,Morona-Santiago,101299,-2.100097,-78.42171
Ecuador,Morona-Santiago,101300,-2.100097,-78.42171
Ecuador,Morona-Santiago,101301,-2.100097,-78.42171
Ecuador,Morona-Santiago,101302,-2.100097,-78.42171
Ecuador,Morona-Santiago,101304,-2.100097,-78.42171
Ecuador,Morona-Santiago,101231,-2.100097,-78.42171
Ecuador,Morona-Santiago,101119,-2.100097,-78.42171
Ecuador,Morona-Santiago,101233,-2.100097,-78.42171
Ecuador,Morona-Santiago,101209,-2.100097,-78.42171
Ecuador,Carchi,101206,0.286447,-77.857426
Ecuador,Carchi,101223,0.286447,-77.857426
Ecuador,Carchi,101212,0.286447,-77.857426
Ecuador,Tungurahua,101398,-1.468243,-78.448521
Ecuador,Zamora-Chinchipe,101318,-4.068375,-78.80117
Ecuador,Zamora-Chinchipe,101349,-4.068375,-78.80117
Ecuador,Napo,101411,-1.043655,-77.686143
Ecuador,Napo,101420,-1.043655,-77.686143
Ecuador,Napo,101132,-1.043655,-77.686143
Ecuador,Napo,101151,-1.043655,-77.686143
Ecuador,Morona-Santiago,101213,-2.308683,-78.111346
Ecuador,Morona-Santiago,101254,-2.308683,-78.111346
Ecuador,Morona-Santiago,101443,-3.183206,-78.784363
Ecuador,Morona-Santiago,101457,-3.183206,-78.784363
Ecuador,Morona-Santiago,101460,-3.183206,-78.784363
Ecuador,Morona-Santiago,101471,-3.183206,-78.784363
Ecuador,Imbabura,101741,0.81054,-78.387469
Ecuador,Azuay,35221,-2.958148,-79.104777
Ecuador,Azuay,48257,-3.678643,-79.246207
Ecuador,Azuay,2887,-3.050784,-78.793987
Ecuador,Azuay,2888,-3.050784,-78.793987
Ecuador,Azuay,1369,-2.888302,-79.204247
Ecuador,Azuay,2165,-2.995737,-79.121936
Ecuador,Azuay,76339,-3.537385,-79.129551
Ecuador,Azuay,76343,-2.616343,-78.524351
Ecuador,Azuay,15593,-2.679479,-78.953445
Ecuador,Azuay,655,-2.874828,-79.210177
Ecuador,Azuay,36783,-2.502149,-79.399204
Ecuador,Azuay,22606,-3.135309,-79.120656
Ecuador,Azuay,32172,-3.136937,-79.133788
Ecuador,Azuay,2233,-3.162886,-78.789695
Ecuador,Azuay,930,-3.054041,-78.787979
Ecuador,Azuay,15630,-3.33957,-79.203906
Ecuador,Azuay,15552,-3.281772,-79.772586
Ecuador,Azuay,15631,-3.33957,-79.203906
Ecuador,Azuay,25223,-2.773551,-79.175488
Ecuador,Azuay,24536,-2.855455,-78.958779
Ecuador,Azuay,24533,-2.855455,-78.958779
Ecuador,Azuay,24737,-2.855455,-78.958779
Ecuador,Azuay,24538,-2.855455,-78.958779
Ecuador,Azuay,24741,-2.855455,-78.958779
Ecuador,Azuay,24738,-2.855455,-78.958779
Ecuador,Azuay,24537,-2.855455,-78.958779
Ecuador,Azuay,24535,-2.855455,-78.958779
Ecuador,Azuay,24667,-2.855455,-78.958779
Ecuador,Azuay,24668,-2.855455,-78.958779
Ecuador,Azuay,38476,-3.069297,-78.764976
Ecuador,Azuay,37841,-3.051127,-78.794502
Ecuador,Azuay,38379,-3.04547,-78.771671
Ecuador,Azuay,38479,-3.069297,-78.764976
Ecuador,Azuay,38369,-3.069297,-78.764976
Ecuador,Azuay,37811,-3.069297,-78.764976
Ecuador,Azuay,2375,-2.972958,-78.799995
Ecuador,Azuay,46637,-3.083333,-79.333333
Ecuador,Azuay,25365,-3.009786,-79.045913
Ecuador,Azuay,107792,-2.803162,-78.874064
Ecuador,Azuay,107793,-2.803162,-78.874064
Ecuador,Azuay,15597,-2.630859,-79.44385
Ecuador,Azuay,21157,-3.414859,-79.152747
Ecuador,Azuay,48247,-2.999291,-79.043666
Ecuador,Azuay,48219,-3.660786,-79.224133
